Year,"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL_COMMERCIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION_ELECTRICPOWER, Thousand Barrels per Day",CO2_ based on LCA calculation (Million Metric Tons),"CO2, Million Metric Tons"
200101,96896.583,2676.998,332493.16,4696.791,622.259,998.732,484.5913897,555.881
200102,83772.227,2309.464,282940.198,4585.966,564.392,610.041,417.9218752,485.087
200103,86499.188,2246.633,300706.544,4717.282,499.323,622.568,427.5810981,509.527
200104,78371.593,1807.17,278078.871,4921.033,397.82,605.492,378.7036943,458.454
200105,84604.868,1522.382,300491.621,4867.046,311.741,549.702,387.1910691,460.058
200106,90024.609,1444.378,327693.978,4900.166,305.115,657.784,405.7271051,458.037
200107,99156.536,1598.071,357613.7,4945.236,311.903,578.981,445.5264827,493.327
200108,101105.371,1669.178,370532.828,5200.739,306.341,765.049,458.2464857,502.689
200109,86705.072,1494.128,306928.866,5028.858,301.527,396.082,392.8517396,445.211
200110,83511.233,1649.073,294733.613,5332.734,360.427,332.643,388.9295776,462.567
200111,81013.457,1700.95,278933.942,4979.857,408.962,315.829,379.8881895,451.854
200112,88484.795,2120.198,305496.328,4505.865,495.355,332.245,427.4293621,495.103
200201,90003.707,2487.638,319941.472,4889.886,523.063,352.109,454.3679358,521.274
200202,79568.765,2242.427,281825.708,4721.682,492.026,329.308,404.227925,464.825
200203,83394.611,2258.431,302549.007,4799.418,434.463,436.461,421.4262854,497.85
200204,78688.328,1880.985,289848.252,4825.801,329.603,424.857,387.194875,460.198
200205,83658.24,1611.453,307674.569,4980.965,303.046,429.195,391.9595693,461.123
200206,90613.311,1591.373,341023.145,5082.495,272.967,442.09,419.178037,466.889
200207,99977.291,1748.435,381542.109,5243.197,273.54,533.814,463.3553919,502.602
200208,99012.333,1725.712,374585.823,5252.466,280.375,533.676,457.5574781,500.483
200209,91304.887,1542.17,331279.434,5164.899,293.099,440.893,414.8010212,461.628
200210,88469.273,1645.873,307059.462,4935.066,361.405,424.597,404.7732526,471.267
200211,87015.673,1913.629,296289.561,4914.964,417.994,336.398,410.8671454,481.986
200212,94648.155,2378.895,324833.704,4380.117,532.612,425.042,461.8755733,529.906
200301,99026.1,2700.545,341988.899,4759.218,670.404,660.32,494.1050251,554.83
200302,87031.782,2500.315,299248.775,4897.728,613.903,630.588,440.9965663,506.365
200303,86182.176,2197.936,304317.263,4639.617,509.309,537.056,425.6521907,504
200304,79312.222,1743.53,285755.7,4922.95,408.048,477.021,380.5265027,458.319
200305,83889.216,1514.697,307544.887,4669.023,348.007,421.842,387.5599625,454.727
200306,90507.648,1368.369,328693.699,4853.235,331.202,597.11,403.5530605,457.593
200307,100380.515,1600.484,374396.049,5061.272,322.131,643.166,454.4959693,497.369
200308,101871.669,1651.58,381816.318,5152.166,313.106,663.332,463.318189,507.286
200309,91509.592,1428.554,323135.536,5188.496,366.024,471.842,406.9668423,459.915
200310,88394.926,1553.189,306740.934,5045.908,395.822,442.211,400.0826998,472.995
200311,88947.222,1753.642,297866.713,4835.982,410.446,352.819,408.0527557,475.2
200312,97807.773,2263.659,331680.431,4996.501,534.925,512.27,466.2883707,537.826
200401,99807.875,2675.834,346545.627,4744.094,613.829,785.196,496.4981388,560.77
200402,90233.479,2511.097,314279.91,5108.997,567.896,517.993,454.5542265,521.927
200403,86075.842,2100.921,308812.096,4991.972,452.921,501.759,422.4511881,504.024
200404,79645.136,1745.171,290559.914,5119.669,392.09,486.43,383.3285405,465.266
200405,87694.373,1573.043,327380.264,5185.566,312.915,544.363,406.7212449,477.865
200406,92975.548,1483.684,345085.079,5337.406,310.021,590.324,421.1662124,476.571
200407,100663.512,1584.933,377331.697,5398.288,298.679,636.726,455.6937103,503.587
200408,99319.155,1577.962,368439.037,5546.956,315.093,591.745,449.0913582,500.572
200409,92548.059,1482.15,335622.198,5489.984,311.915,473.879,416.6606715,469.26
200410,89025.608,1557.224,312450.223,5453.579,364.655,401.998,404.0060911,478.229
200411,89666.526,1782.796,302101.256,5272.944,432.233,366.83,412.9853831,486.937
200412,99599.425,2327.73,341947.963,5020.68,616.675,513.653,477.4758959,548.719
200501,99403.225,2561.858,343121.453,5001.217,540.71,626.336,488.7941777,553.428
200502,87720.533,2242.986,298500.316,5081.717,520.204,417.894,429.8339089,494.783
200503,91150.681,2205.787,317458.276,5299.418,451.717,429.937,442.8302242,522.885
200504,80859.706,1724.877,289562.4,4764.8,354.017,374.033,384.7239845,461.664
200505,86367.787,1522.613,315062.11,5157.498,319.062,354.952,396.8748314,471.728
200506,96504.417,1534.122,363671.636,5547.096,327.347,596.557,438.6637604,487.536
200507,103428.775,1686.609,402273.846,5115.32,307.976,692.592,476.0475711,513.85
200508,104549.477,1695.102,404940.681,5573.236,328.73,775.822,480.2808581,521.51
200509,95689.525,1422.495,350217.801,4846.642,304.842,676.437,426.1530306,473.449
200510,91469.168,1428.227,316397.924,4759.972,344.951,537.233,404.6096004,474.249
200511,89018.317,1663.4,306115.236,5037.565,381.22,372.691,406.9270587,478.509
200512,99816,2326.36,348101.071,5010.203,498.184,686.549,480.1832896,553.411
200601,94621.37,2165.268,328657.739,5043.874,463.159,319.38,452.7808937,521.884
200602,88231.349,2144.378,307333.43,4883.69,529.497,291.206,429.2078656,487.018
200603,89877.102,2126.369,318729.8,5014.412,439.333,207.756,436.2384478,512.329
200604,79419.116,1681.005,297858.078,4857.102,323.002,247.75,382.1076283,454.702
200605,87490.378,1526.297,330615.57,5180.952,287.62,230.352,405.1389492,468.67
200606,94297.71,1550.879,364259.798,5471.793,260.908,317.389,434.436609,481.519
200607,104145.4,1758.733,410420.793,5084.729,247.424,379.356,484.1187352,515.186
200608,105198.209,1751.683,407762.536,5619.904,252.498,450.43,485.5373057,524.514
200609,91333.887,1462.07,332055.321,5450.828,271.593,254.955,411.5748278,467.125
200610,91199.139,1644.231,321567.091,5333.217,297.467,268.378,416.6262441,486.714
200611,89548.183,1765.375,309158.826,5356.177,337.024,259.552,414.2967734,480.987
200612,96929.919,2122.784,336283.246,4995.743,413.036,239.558,458.9556328,528.689
200701,98737.661,2474.725,353531.095,5067.259,435.746,317.308,486.5670363,543.442
200702,90969.775,2565.953,323230.395,5156.291,500.42,507.286,462.306895,521.634
200703,89019.463,2128.33,320471.243,4933.462,418.706,278.608,434.9016628,508.117
200704,82540.111,1809.783,303129.064,5049.799,289.136,269.447,397.7954072,469.903
200705,88010.435,1560.369,330202.758,5207.548,218.22,251.518,407.966721,474.771
200706,96555.217,1555.757,362754.877,5105.998,229.808,315.931,439.4050539,482.418
200707,103282.294,1660.814,393226.432,5089.058,223.851,294.894,471.2059561,506.595
200708,105786.699,1896.674,421796.659,5183.549,243.733,379.972,498.9011228,529.453
200709,94596.351,1590.656,355393.912,5214.752,257.432,271.028,433.7973075,477.012
200710,90819.885,1627.602,332615.416,5090.004,292.71,250.428,418.7098282,478.507
200711,89310.735,1834.266,314102.543,4862.275,397.31,169.342,418.8442076,482.728
200712,98369.504,2398.862,346290.331,4721.009,545.391,222.777,479.4662046,540.966
200801,101388.662,2733.59,362998.429,4873.999,549.935,235.074,508.8163815,555.4
200802,93441.72,2502.724,325105.597,4760.949,549.243,208.835,465.2577754,511.666
200803,90154.05,2277.698,324629.85,4581.015,424.34,165.113,446.18328,506.035
200804,83461.557,1823.885,305865.031,4593.62,331.944,186.754,401.3948611,462.545
200805,87807.055,1577.395,325244.802,4731.784,256.962,182.953,406.3093804,460.999
200806,96035.744,1604.908,373109.027,4780.393,251.906,280.813,443.8940763,468.331
200807,104723.707,1710.14,402900.336,4732.391,239.712,225.667,480.0453513,494.995
200808,102389.859,1683.74,388986.719,4550.898,226.224,205.464,468.2461682,485.387
200809,91908.77,1460.035,338056.13,3933.259,240.93,230.007,414.0572808,437.076
200810,86926.884,1635.044,318547.343,4904.309,286.192,172.642,404.6718946,461.946
200811,87148.645,1868.435,310046.241,4352.497,358.778,183.497,413.5027899,462.277
200812,95161.791,2399.413,343898.254,3906.845,502.437,229.126,470.5627743,516.478
200901,96448.616,2729.697,354992.636,4131.256,541.618,318.942,493.7537276,533.28
200902,80120.525,2331.768,300887.398,4168.746,495.538,191.377,416.4652815,456.546
200903,77813.967,2170.514,310602.964,4019.694,428.362,179.711,406.4650511,460.94
200904,72019.193,1741.243,289537.255,4042.558,343.254,151.784,364.1847053,418.626
200905,75264.05,1504.992,311305.872,4087.519,248.063,171.136,367.696764,412.282
200906,83826.921,1528.41,347658.241,4369.477,230.83,178.942,402.0688759,428.559
200907,89133.755,1659.05,372542.226,4262.483,243.59,180.442,429.7351178,447.469
200908,91730.842,1737.335,381221.417,4432.247,251.193,195.097,442.8887259,458.813
200909,78756.705,1574.901,327400.612,4572.662,289.323,155.862,385.1689282,417.544
200910,80034.899,1666.078,307040.341,4429.139,295.673,136.017,385.5919758,432.249
200911,78501.9,1775.166,296634.67,4514.41,313.707,110.619,383.6693607,427.317
200912,93826.234,2490.925,350507.295,4240.966,496.871,128.201,474.2810637,510.046
201001,96493.761,2809.788,360957.167,4091.759,549.824,239.132,499.7821248,524.186
201002,86001.06,2480.95,319734.727,4196.251,557.145,137.731,444.3393472,471.414
201003,82444.118,2142.925,312167.64,4549.224,358.805,133.845,416.6985967,469.018
201004,72790.215,1691.813,287800.227,4442.915,269.113,125.302,363.0860687,420.424
201005,81570.459,1617.274,327936.492,4315.571,262.169,163.767,394.2007549,435.588
201006,92983.42,1649.515,375759.478,4679.46,278.818,224.094,439.7891267,457.362
201007,100582.163,1825.828,409725.44,4514.722,233.467,243.777,478.2987844,484.432
201008,100393.037,1878.926,408884.155,4984.565,217.096,196.358,480.2912212,490.64
201009,85385.77,1637.491,346045.172,4965.755,212.629,153.013,410.7654259,441.761
201010,76590.832,1664.938,307920.691,4426.074,294.013,118.102,377.7638646,427.169
201011,78697.159,1973.294,306009.629,4388.782,362.072,114.389,397.2813537,444.009
201012,94581.723,2714.054,362119.081,4546.518,530.613,189.444,491.3183835,527.556
201101,96303.081,2888.64,362871.893,4525.318,496.923,184.322,503.988319,529.267
201102,79576.763,2452.403,313126.607,4204.305,499.426,143.626,425.4440559,454.464
201103,78766.962,2230.493,318709.941,4629.976,368.06,147.36,414.6770506,464.555
201104,72497.188,1825.023,302400.724,4294.12,267.66,132.732,373.9435262,418.497
201105,79098.326,1667.396,323628.238,4336.343,195.958,127.81,389.1737723,425.506
201106,89651.825,1657.334,367727.015,4567.051,235.77,145.007,429.3652995,445.132
201107,99618.148,1890.515,418692.755,4479.342,216.118,168.878,482.1753517,476.194
201108,97762.441,1891.783,406511.315,4898.171,264.883,143.404,473.7776267,480.27
201109,82341.004,1655.634,337931.318,4685.736,288.192,130.395,401.4207587,428.306
201110,75260.839,1744.454,308698.504,4666.637,328.807,106.993,378.7711641,424.888
201111,72706.918,2031.872,304102.155,4799.459,390.135,97.296,385.3778303,432.489
201112,79364.672,2541.878,335740.463,4194.698,493.068,115.594,437.3072609,475.034
201201,76291.6,2756.18,339528.259,4533.332,479.339,125.558,441.7847086,477.242
201202,68466.207,2500.654,309389.42,4539.758,422.254,105.223,400.2151888,440.122
201203,63074.891,2127.761,309090.569,4307.656,332.707,77.424,368.8340935,417.385
201204,56898.617,1953.071,295228.216,4242.624,266.15,78.545,340.7771697,390.711
201205,68014.705,1873.835,336517.631,4531.361,238.592,90.737,377.777779,414.698
201206,76642.097,1868.356,360826.151,4629.412,234.345,112.006,406.5301885,427.51
201207,91587.644,2069.773,414639.671,4537.08,219.749,123.293,470.5792836,467.491
201208,87918.693,2008.815,395699.566,4725.278,258.155,104.585,452.4432918,463.795
201209,74477.409,1807.208,334584.877,4493.848,229.074,92.411,388.8942017,411.408
201210,71773.73,1901.084,311650.774,4900.342,239.841,89.627,379.2709583,422.951
201211,75318.703,2167.841,305975.035,4708.067,320.848,92.403,398.7372882,438.695
201212,78720.825,2503.907,334635.089,4558.406,358.424,93.397,433.3012567,464.212
201301,80587.134,2878.785,348967.378,4700.001,509.695,137.78,461.4372222,494.229
201302,72485.533,2567.155,309728.08,4535.389,515.299,113.907,413.1017779,442.136
201303,75914.288,2521.108,325398.834,4216.713,426.287,101.085,424.4273298,463.834
201304,65959.613,1967.458,299332.868,4347.057,328.821,101.529,364.457978,409.474
201305,69885.357,1752.469,322155.64,4550.473,226.198,121.376,371.2019892,414.128
201306,80169.252,1742.917,356822.647,4641.833,178.161,123.939,407.2401505,424.322
201307,88299.204,1926.33,394845.621,4869.953,173.077,145.528,449.0122781,459.341
201308,87155.789,1927.379,385285.745,4679.263,200.623,124.158,442.9640245,456.186
201309,77901.622,1766.973,340940.902,5169.81,222.095,116.059,397.6204184,424.821
201310,71824.198,1866.762,314925.463,5096.444,209.33,107.597,379.0582215,424.846
201311,71439.212,2316.909,314539.642,5064.09,306.255,99.893,400.2726511,446.141
201312,82820.614,2920.826,353021.248,4815.333,367.248,129.329,470.3160298,499.333
201401,89062.794,3204.129,377251.379,4802.324,447.016,363.967,507.5724088,532.891
201402,81580.981,2741.24,324347.016,4365.764,486.935,163.721,448.4016445,473.424
201403,77685.495,2557.89,331820.969,4030.804,406.831,167.835,432.6562026,469.599
201404,63209.565,1961.678,297628.262,4442.19,249.656,95.915,357.1701764,409.962
201405,69184.695,1810.222,324719.307,4293.929,256.426,110.352,373.2623365,416.047
201406,79487.082,1745.351,357840.179,4441.05,227.058,113.553,406.1336201,426.237
201407,86802.295,1881.017,385775.45,4612.888,201.429,110.003,440.0546268,456.826
201408,86357.128,1933.061,384336.561,4736.254,206.171,112.931,441.1038818,457.442
201409,74293.549,1809.291,339882.666,4980.341,261.549,109.611,390.7955578,422.107
201410,66493.941,1912.81,314518.009,4988.026,291.14,80.918,368.7350135,425.462
201411,70154.743,2357.521,317491.365,4671.457,380.653,98.193,400.2578722,447.013
201412,73419.21,2679.165,337952.981,4620.374,406.736,116.085,431.0713775,476.831
201501,76894.69,3114.982,360452.843,4661.044,652.171,158.763,468.6018198,506.475
201502,72317.599,2925.172,334595.611,4584.08,654.169,351.826,439.4632508,472.131
201503,63559.966,2591.329,324313.517,4470.09,532.057,97.07,398.6188164,455.72
201504,53207.419,2007.922,294177.187,4602.999,423.925,94.813,334.7632348,395.965
201505,61923.19,1858.149,322189.101,4718.471,397.428,104.782,357.8271943,409.556
201506,73844.88,1899.906,362493.066,5049.936,340.457,104.708,402.3942652,431.093
201507,81448.949,2067.714,400534.568,5102.104,347.25,125.867,442.1074543,463.67
201508,78574.441,2052.728,392241.719,4978.277,366.653,116.45,431.599851,454.82
201509,69369.492,1901.337,350190.226,4761.861,364.263,111.785,387.4351203,418.565
201510,58404.552,1987.31,312210.416,4476.849,527.604,94.367,352.4299572,409.786
201511,53639.953,2249.14,300779.394,4292.737,581.774,98.742,349.950525,406.129
201512,54929.549,2588.168,324536.124,4531.642,614.98,93.137,378.2438856,438.155
201601,66662.224,3091.695,352713.719,4626.819,606.834,127.222,440.5115895,482.862
201602,55210.717,2652.26,313816.4,4921.448,600.244,126.083,378.3685012,433.655
201603,44574.606,2356.298,304427.422,4694.569,490.052,101.729,335.3465504,409.895
201604,43383.704,2083.848,292986.598,4472.647,451.002,106.57,314.9354281,382.586
201605,49342.933,1965.799,316866.992,4455.672,413.974,107.288,331.5828096,390.118
201606,67551.229,2000.656,367903.542,4640.476,362.317,113.511,394.4253888,424.803
201607,78568.539,2186.616,412043.365,4617.785,361.954,131.912,445.1184383,459.014
201608,78174.536,2208.375,409861.386,5016.845,342.638,131.38,444.6579441,466.594
201609,66614.898,1947.752,351560.044,4871.108,385.947,111.22,383.8184752,418.332
201610,58952.703,1925.203,312939.728,4929.866,442.72,89.45,350.9823845,408.976
201611,52533.242,2159.445,297065.261,4710.752,496.037,100.826,341.8020875,405.953
201612,69501.358,2866.273,345389.344,4517.36,649.362,111.684,433.8377452,486.15
201701,68005.594,2914.837,344413.97,4698.197,610.493,114.696,432.1106307,477.207
201702,52380.924,2341.078,291112.638,4440.822,550.39,99.452,348.1233847,396.73
201703,53325.237,2524.263,319469.28,4799.963,515.557,90.757,369.68453,435.702
201704,48565.447,1932.745,295461.518,4794.996,440.345,72.783,320.6673443,383.438
201705,55201.684,1892.286,323494.022,4865.959,385.521,103.607,344.3556003,404.315
201706,63098.547,1910.408,358630.102,5076.598,394.423,109.37,376.4325445,415.783
201707,74213.784,2141.879,404537.01,5095.003,339.616,101.572,430.1027872,451.327
201708,70229.13,2094.234,384837.276,4831.991,367.723,96.881,411.4725602,444.287
201709,59039.437,1920.233,336003.836,4815.699,366.613,95.075,359.0563764,402.793
201710,54435.842,2031.694,318731.201,4873.293,413.821,86.768,347.7212116,407.891
201711,55357.275,2357.822,308188.682,5135.217,525.839,96.15,362.3699785,425.821
201712,63002.781,3084.415,350563.359,4802.383,641.883,146.256,431.1886347,486.152
201801,69253.774,3341.44,373379.353,5207.762,698.734,348.108,466.7054912,512.079
201802,50024.953,2711.241,307057.658,4862.815,577.456,100.889,366.6086191,414.76
201803,48869.909,2797.818,321765.19,5186.903,525.938,84.485,373.6916412,446.9
201804,44793.442,2351.509,301056.945,4750.44,483.877,93.989,334.5370032,402.919
201805,51573.59,2056.106,339228.262,5018.158,376.108,88.624,349.48123,406.662
201806,60239.976,2064.26,372145.084,5177.94,354.354,112.692,382.1055185,420.562
201807,68083.151,2352.215,411616.686,5258.173,340.765,109.612,428.687299,453.819
201808,67976.37,2315.335,408352.15,5682.011,334.098,111.058,425.6893865,459.209
201809,58159.414,2157.215,356557.96,5259.146,349.365,109.795,376.0501748,414.218
201810,52811.207,2286.013,325070.15,5506.956,470.513,89.057,358.918127,425.941
201811,56170.449,2716.229,322466.034,5120.05,581.056,99.302,387.155544,447.999
201812,60149.091,2999.923,342292.233,4750.435,668.114,100.019,417.3728602,472.739
201901,60198.764,3425.044,359728.835,5386.811,668.871,122.532,444.6755689,499.589
201902,49199.764,3020.076,315281.732,4856.632,643.201,95.249,382.9945498,432.652
201903,48347.845,2928.525,326903.253,4812.474,567.54,80.252,380.5331994,448.421
201904,37282.224,2213.498,296952.611,5041.197,452.812,67.007,308.6490592,383.101
201905,44060.166,2135.137,330660.823,5101.905,400.342,96.791,332.6700808,398.972
201906,48267.03,2120.269,353239.355,5134.581,372.165,88.015,349.9128089,401.852
201907,59801.968,2395.18,410364.891,5337.118,358.108,100.744,410.8365421,442.427
201908,56310.744,2435.169,401731.655,5372.51,408.196,98.238,401.6725186,443.756
201909,51113.288,2207.12,360759.569,5450.935,348.278,87.365,363.4100575,403.69
201910,41517.648,2307.468,320517.645,5435.91,420.04,60.322,331.7005541,404.47
201911,45869.143,2784.228,315897.352,5297.732,586.708,70.312,363.8616066,432.71
201912,44574.785,3171.583,338536.158,5072.86,630.741,83.499,387.789729,455.258
202001,40771.261,3320.552,342019.11,5219.143,643.927,90.525,387.2062214,450.192
202002,36011.703,3058.519,319698.106,5240.934,619.794,81.241,355.2562587,418.213
202003,32842.827,2721.99,309869.696,5317.735,521.605,82.435,327.1316143,387.613
202004,26754.133,2256.849,279846.214,4205.671,440.671,75.7,277.916399,305.204
202005,29783.502,2072.161,304836.826,4670.506,445.143,78.924,285.2722677,317.467
202006,39797.904,2127.914,351967.19,4865.208,392.526,99.618,328.7798366,347.744
202007,52852.356,2464.089,409871.26,5189.11,356.887,102.909,396.8396533,403.757
202008,53610.339,2399.535,398535.593,5277.888,352.07,97.726,391.511981,405.826
202009,41827.721,2151.18,333493.037,5144.516,405.008,70.589,328.4984002,363.857
202010,37392.536,2315.892,313703.439,5285.616,447.655,70.186,319.2476352,371.087
202011,37873.817,2441.945,301402.964,5576.809,504.487,80.301,322.2970645,372.578
202012,47175.003,3182.826,344523.413,5462.344,592.504,96.642,396.0026749,436.315
202101,49009.762,3336.075,349240.773,5448.365,654.692,95.867,409.553549,449.48
202102,51520.742,3096.808,323899.407,3970.723,713.692,148.063,394.4137736,420.468
202103,38330.784,2639.046,311376.971,4983.5,584.752,84.793,336.7658944,400.663
202104,33633.784,2270.737,293322.389,5473.462,493.069,73.766,301.3554409,368.818
202105,39281.849,2115.059,320174.392,5610.28,441.645,80.259,316.5669278,377.241
202106,51589.707,2240.571,373872.072,5723.214,406.279,83.635,370.90488,404.71
202107,60022.263,2415.6,405648.924,5437.224,367.549,91.595,410.5034402,431.615
202108,59903.694,2435.6,412885.749,5754.229,354.959,112.034,413.8852905,437.754
202109,47960.25,2135.648,347711.724,5674.495,403.329,94.553,347.7948838,389.459
202110,39435.283,2258.209,318754.235,5617.376,467.883,89.144,323.6044417,388.957
202111,36554.636,2680.171,314254.446,5390.411,559.3,103.265,336.1068075,403.788
202112,38367.696,3001.161,337161.754,5569.941,629.574,93.045,364.3036356,429.549
202201,52357.441,3591.691,377106.442,5564.222,689.542,190.326,440.1874144,478.522
202202,43430.378,3061.123,326930.707,5552.723,744.047,102.129,375.5195439,422.591
202203,37946.865,2781.491,324771.623,5501.441,588.882,83.683,348.0672911,418.88
202204,34267.185,2367.455,303323.604,5426.862,486.714,76.434,311.2214296,375.273
202205,38500.672,2242.38,342215.442,5300.325,430.155,91.592,328.788859,382.566
202206,45133.892,2317.957,380648.538,5811.186,399.12,95.145,361.931527,398.076
202207,52853.777,2582.948,424013.445,6055.821,352.502,86.92,408.3403328,427.882
202208,51704.667,2559.494,412709.726,5780.709,350.076,91.309,400.5940495,430.153
202209,40626.942,2288.491,350722.26,5920.261,396.31,97.888,339.1935316,387.889
202210,35007.109,2366.092,314110.952,5753.774,467.504,92.919,316.8474378,385.849
202211,35810.471,2774.152,322958.838,5615.659,541.07,92.905,342.0523789,408.11
202212,45104.313,3385.161,363624.583,4669.612,634.921,249.199,408.0894725,454.091
